date,long_gross,short_gross,stock_gross,hedge_gross,gross_exposure,net_exposure,turnover,net_SPY_exposure,net_XLK_exposure,net_QQQ_exposure
2023-05-18,0.15000000000000002,0.08911151525462141,0.15000000000000002,0.08911151525462141,0.23911151525462143,0.060888484745378606,0.19678801945436344,0.018889631671708547,0.0651916220394212,0.005030261543491683
2023-05-19,0.15137410158040918,0.11915265506537477,0.2,0.07052675664578394,0.27052675664578396,0.03222144651503442,0.09872517260833145,-0.0013741015804091643,0.050426288102545264,0.0187263669628295
2023-05-22,0.12361197466278281,0.10126439322964392,0.15000000000000002,0.07487636789242673,0.22487636789242677,0.02234758143313889,0.09180234517230179,-0.01709465668686158,0.05126439322964392,-0.006517317975921226
2023-05-23,0.12283864458549043,0.0998031827844446,0.15000000000000002,0.07264182736993502,0.22264182736993504,0.023035461801045824,0.0022345405224917115,-0.01665815284832333,0.049803182784444594,-0.006180491737167091
2023-05-24,0.1453104082783504,0.12304919031035323,0.15000000000000002,0.11835959858870362,0.2683595985887036,0.02226121796799716,0.24627889440509348,0.05686841627074775,0.01618077403960548,-0.04531040827835039
2023-05-25,0.1465922824729382,0.12471667339647863,0.15000000000000002,0.12130895586941681,0.27130895586941683,0.021875609076459586,0.0029493572807132024,0.05759636680771271,0.017120306588765906,-0.0465922824729382
2023-05-26,0.2864823733041765,0.3034955250916559,0.25,0.33997789839583237,0.5899778983958324,-0.01701315178747939,0.4460941206498238,0.09001419505609128,-0.1864823733041765,0.06348133003556461
2023-05-30,0.30917510961110967,0.295981653815126,0.3,0.3051567634262356,0.6051567634262356,0.013193455795983688,0.16008361853044442,0.04486908199913753,-0.15917510961110964,0.10111257181598843
2023-05-31,0.3088965272353519,0.29390243140247596,0.3,0.3027989586378278,0.6027989586378277,0.014994095832875906,0.0029954492937428884,0.042471037333819975,-0.15889652723535183,0.10143139406865595
2023-06-01,0.2880528301550016,0.24319683306456036,0.25,0.2812496632195619,0.5312496632195619,0.04485599709044122,0.19149610584099397,-0.018207966215459656,-0.1198448639395419,0.14319683306456035
2023-06-02,0.28948900346903084,0.24160158432104809,0.25,0.2810905877900789,0.5310905877900789,0.04788741914798278,0.00745158829068299,-0.02185422264605966,-0.11763478082297119,0.14160158432104808
2023-06-05,0.2829031349029268,0.23733262368354252,0.25,0.2702357585864693,0.5202357585864693,0.04557051121938424,0.011209246486942786,-0.015091145438289004,-0.11781198946463775,0.13733262368354252
2023-06-06,0.25829696038971683,0.2211617778119383,0.25,0.2294587382016551,0.4794587382016551,0.037135182577778494,0.04077702038481417,-0.002158661878166542,-0.10613829851155025,0.1211617778119383
2023-06-07,0.3059672745843848,0.29855712335929496,0.3,0.3045243979436797,0.6045243979436796,0.007410151225089798,0.18735390820306416,0.05638080789970989,-0.15596727458438475,0.09217631545958506
2023-06-08,0.29249602396811814,0.2853140082589918,0.3,0.27781003222710987,0.5778100322271098,0.007182015709126396,0.061116232758126506,0.07358174142048823,-0.14249602396811814,0.06173226683850351
2023-06-09,0.29071643969141225,0.2828944492445073,0.3,0.2736108889359195,0.5736108889359195,0.007821990446904944,0.006202424121236033,0.07458338183551107,-0.14071643969141223,0.05831106740899622
2023-06-12,0.2833368505797226,0.2777943904729826,0.3,0.26113124105270513,0.5611312410527052,0.005542460106739949,0.032613272421764664,0.08465019410478622,-0.13333685057972255,0.043144196368196386
2023-06-13,0.1299777726645067,0.16780273287102837,0.15000000000000002,0.14778050553553507,0.2977805055355351,-0.03782496020652167,0.27547611201732236,0.06780273287102836,-0.07391508441443057,-0.006062688250076128
2023-06-14,0.1658873946924722,0.2282611298905839,0.15000000000000002,0.24414852458305608,0.3941485245830561,-0.06237373519811168,0.4372965642039412,0.0034011485428944166,-0.1658873946924722,0.07485998134768945
2023-06-15,0.14436991368760396,0.17766418637433173,0.1,0.2220341000619357,0.32203410006193567,-0.03329427268672777,0.08593813901500628,0.010313005789837362,-0.14436991368760396,0.06735118058449437
2023-06-16,0.14980169331050483,0.18882416622960846,0.1,0.23862585954011328,0.33862585954011326,-0.03902247291910363,0.0165917594781776,0.018140549486109693,-0.14980169331050483,0.07068361674349877
2023-06-20,0.14760292821302745,0.18716129156262137,0.1,0.23476421977564882,0.33476421977564885,-0.03955836334959392,0.005637404499920437,0.019028431853837673,-0.14760292821302745,0.06813285970878369
