fold_id,stock,factor_set,factors,candidate,family,selection_score,active_days,mr_probability_entry,mr_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,selected
3.0,AMD,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s125,mean_reversion,1.2902784798395301,29.0,0.4,1.25,0.004685771300617425,3.8429117827147454e-05,0.00047126139447276896,1.2944903622497692,-0.004257665554536771,0.13934426229508196,0.016847529640956507,0.037052725065968344,0.23770491803278687,2.055398616196694,True
3.0,ADBE,XLK,XLK,mr_p040_s150,mean_reversion,3.031289399938293,25.0,0.4,1.5,0.007123709729162986,5.823179166788886e-05,0.0003047721547961298,3.033088884134113,-0.000740715656346036,0.14754098360655737,0.007197936783279938,0.022389082745663317,0.20491803278688525,0.8781482875601524,True
,CRM,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
3.0,CSCO,XLK,XLK,mr_p035_s200,mean_reversion,2.6151232837586527,13.0,0.35,2.0,0.002729236506493926,2.2349686276890875e-05,0.0001356343501330355,2.6157847939390404,-0.000466313934620155,0.08196721311475409,0.002646040721551181,0.00864060708188943,0.10655737704918032,0.3228169680292441,True
,INTC,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
3.0,ORCL,QQQ_XLK,"QQQ,XLK",mr_p040_s150,mean_reversion,2.272802507449191,10.0,0.4,1.5,0.00212517342371088,1.7408443588894993e-05,0.00012153274073116788,2.273876759718342,-0.000305220025014985,0.04918032786885246,0.004297009076603083,0.010708125243169865,0.08196721311475409,0.5242351073455762,True
3.0,QCOM,SPY_XLK,"SPY,XLK",mr_p035_s125,mean_reversion,2.75024661351869,21.0,0.35,1.25,0.008595324249848435,7.023615596957101e-05,0.0004051089683761796,2.752258028038604,-0.002016656406170325,0.09836065573770492,0.008045658079658354,0.02438780096488578,0.1721311475409836,0.9815702857183191,True
3.0,TXN,QQQ_XLK,"QQQ,XLK",mr_p040_s150,mean_reversion,2.2920009538722006,38.0,0.4,1.5,0.0046016494613163594,3.76662866440664e-05,0.00026058704823789166,2.2945643986226916,-0.0013066313632795756,0.1885245901639344,0.010253779001963611,0.03341253509120272,0.3114754098360656,1.2509610382395606,True
,AAPL,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
4.0,MSFT,SPY_XLK,"SPY,XLK",mr_p035_s200,mean_reversion,2.3639673834397352,49.0,0.35,2.0,0.00714451301161767,5.795555771288714e-05,0.0003888823367105707,2.3657951775239274,-0.001937799374707616,0.2601626016260163,0.007311176336769567,0.050678682901143586,0.3983739837398374,0.8992746894226568,True
4.0,NVDA,SPY_XLK,"SPY,XLK",mr_p030_s175,mean_reversion,1.4130774816649605,11.0,0.3,1.75,0.0022579118414094435,1.835750019843439e-05,0.0002059151552908435,1.4152250274908063,-0.0016547989721265033,0.04878048780487805,0.008590183303383079,0.013511338956429404,0.08943089430894309,1.0565925463161188,True
,AVGO,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,AMD,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
4.0,ADBE,QQQ_XLK,"QQQ,XLK",mr_p030_s150,mean_reversion,2.329856386872907,13.0,0.3,1.5,0.005410159859488006,4.391174806492188e-05,0.0002989878061560333,2.3314575903461607,-0.0015254652121619028,0.06504065040650407,0.00640481389301526,0.02587697410533296,0.10569105691056911,0.787792108840877,True
4.0,CRM,XLK,XLK,mr_p040_s175,mean_reversion,3.2568572943759126,38.0,0.4,1.75,0.015029787011166196,0.00012146476675827013,0.0005915183057307539,3.2597357963605584,-0.0015075426777308998,0.2032520325203252,0.0115140079385834,0.03411137153924263,0.3089430894308943,1.4162229764457581,True
4.0,CSCO,XLK,XLK,mr_p035_s200,mean_reversion,2.6878837435291327,21.0,0.35,2.0,0.0036550975298526023,2.9677727946079453e-05,0.00017522937915510269,2.688586400340669,-0.000927635896763479,0.11382113821138211,0.0028106272461446377,0.013566512568689588,0.17073170731707318,0.34570715127579044,True
,INTC,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
4.0,ORCL,XLK,XLK,mr_p030_s125,mean_reversion,2.510170400535885,24.0,0.3,1.25,0.010996369538821327,8.907423726635485e-05,0.0005629925854195115,2.5115955641291037,-0.002528907800650737,0.13008130081300814,0.005700654372874555,0.016216010302700704,0.1951219512195122,0.7011804878635703,True
