date,long_gross,short_gross,stock_gross,hedge_gross,gross_exposure,net_exposure,turnover,net_XLE_exposure,net_XLF_exposure,net_XLI_exposure,net_XLK_exposure,net_XLV_exposure,portfolio_vol_scale
2024-10-02,0.1615724446207511,0.1,0.15000000000000002,0.11157244462075111,0.26157244462075113,0.0615724446207511,0.0743298530418636,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-03,0.1610507991908893,0.1,0.15000000000000002,0.11105079919088931,0.26105079919088936,0.0610507991908893,0.0005216454298618001,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-04,0.20102275358999167,0.15000000000000002,0.2,0.15102275358999168,0.3510227535899917,0.05102275358999164,0.09090643255053557,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-07,0.2759125246979469,0.2,0.25,0.22591252469794684,0.47591252469794687,0.07591252469794685,0.1248897711079552,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-08,0.36786183180032767,0.25,0.35,0.2678618318003277,0.6178618318003277,0.11786183180032762,0.3266218529992884,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-09,0.3425072389147053,0.2174256958487481,0.3,0.25993293476345336,0.5599329347634534,0.1250815430659572,0.09391443906090374,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-10,0.43142697701483845,0.2741436643215545,0.35,0.355570641336393,0.7055706413363929,0.15728331269328394,0.1462453127423513,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-11,0.3651069194123693,0.25,0.35,0.2651069194123693,0.6151069194123693,0.11510691941236925,0.20181806476298325,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-14,0.32269726349933947,0.32873825999021383,0.44999999999999996,0.20143552348955332,0.6514355234895532,-0.0060409964908744625,0.36845804883108413,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-15,0.24610005715766203,0.2785372792114492,0.35,0.17463733636911125,0.5246373363691113,-0.03243722205378718,0.22984805351294538,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-16,0.24332658144523603,0.27317378962583777,0.35,0.1665003710710738,0.5165003710710738,-0.029847208180601773,0.14756077601865009,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-17,0.299366081901887,0.26842256226808386,0.35,0.21778864416997085,0.5677886441699709,0.030943519633803165,0.15128827309889709,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-18,0.34866359138340924,0.31620579164553203,0.44999999999999996,0.21486938302894126,0.6648693830289412,0.03245779973787723,0.1916375276908691,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-21,0.4022185821995317,0.4063540500281996,0.5499999999999999,0.2585726322277313,0.8085726322277312,-0.00413546782866786,0.1896539228488574,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-22,0.47634700992989687,0.393709437059367,0.5499999999999999,0.32005644698926383,0.8700564469892638,0.08263757287052989,0.35638778005677657,-1.3877787807814457e-17,0.0,0.0,0.0,0.0,1.0
2024-10-23,0.49753693064848636,0.42047737733623647,0.49999999999999994,0.4180143079847229,0.9180143079847228,0.07705955331224992,0.24989399260827427,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-24,0.47374034434530343,0.39883797453992237,0.49999999999999994,0.37257831888522586,0.8725783188852259,0.07490236980538109,0.15250270271891042,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-25,0.3582952587029694,0.32180941369649485,0.44999999999999996,0.23010467239946428,0.6801046723994643,0.03648584500647462,0.3037164234576875,-1.3877787807814457e-17,0.0,0.0,0.0,0.0,1.0
2024-10-28,0.3386620206272345,0.2688762730987211,0.39999999999999997,0.20753829372595559,0.6075382937259556,0.06978574752851344,0.5847785139781211,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-29,0.34947773989424885,0.27271638100148143,0.35,0.27219412089573025,0.6221941208957302,0.0767613588927674,0.12438649783055987,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-30,0.3517560842237192,0.266708726760639,0.3,0.3184648109843581,0.618464810984358,0.08504735746308012,0.10237745078870522,0.0,0.0,0.0,0.0,0.0,1.0
2024-10-31,0.2503009956138195,0.24163048020053404,0.3,0.19193147581435352,0.4919314758143535,0.008670515413285458,0.37637684204979466,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-01,0.2170575003903727,0.21770494555229708,0.3,0.13476244594266978,0.4347624459426698,-0.0006474451619243766,0.17050337173836905,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-04,0.30215265140285963,0.34261226619162255,0.35,0.2947649175944822,0.6447649175944822,-0.04045961478876292,0.3398613722728046,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-05,0.3,0.3128043740398492,0.3,0.3128043740398492,0.6128043740398492,-0.012804374039849145,0.08416776535325063,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-06,0.3,0.3102247717381052,0.3,0.3102247717381052,0.6102247717381052,-0.01022477173810523,0.004658222325219612,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-07,0.3453018843283666,0.3254984573461576,0.3,0.3708003416745242,0.6708003416745242,0.019803426982209035,0.44272660255884794,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-08,0.43110460406006024,0.3771971169711976,0.39999999999999997,0.4083017210312577,0.8083017210312577,0.05390748708886267,0.19777259452187357,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-11,0.4040495978498456,0.3546783823671568,0.39999999999999997,0.3587279802170024,0.7587279802170024,0.049371215482688836,0.4766250590977616,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-12,0.5041932578246747,0.46390327542229015,0.49999999999999994,0.4680965332469649,0.9680965332469649,0.0402899824023846,0.21001794392827636,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-13,0.5547153526580938,0.5196042413377198,0.5499999999999999,0.5243195939958136,1.0743195939958134,0.03511111132037403,0.4846970728928991,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14,0.5536553021890969,0.5673453472501486,0.5499999999999999,0.5710006494392454,1.1210006494392455,-0.013690045061051676,0.18688561654221275,0.0,0.0,0.0,0.0,0.0,1.0
