timestamp_utc,symbol,trading_date,action,path,rows,error,venue,start_time,end_time
2026-04-29T03:08:12.217393+00:00,AAPL,2021-01-18,skipped,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-18/part.parquet,0,no_data,utp_cta,09:30:00,16:00:00
2026-04-29T03:08:17.558007+00:00,AAPL,2021-01-19,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-19/part.parquet,565085,,utp_cta,09:30:00,16:00:00
2026-04-29T03:08:23.315836+00:00,AAPL,2021-01-20,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-20/part.parquet,642311,,utp_cta,09:30:00,16:00:00
2026-04-29T03:08:30.377347+00:00,AAPL,2021-01-21,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-21/part.parquet,793463,,utp_cta,09:30:00,16:00:00
2026-04-29T03:08:36.590288+00:00,AAPL,2021-01-22,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-22/part.parquet,703435,,utp_cta,09:30:00,16:00:00
2026-04-29T03:08:46.234014+00:00,AAPL,2021-01-25,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-25/part.parquet,1157659,,utp_cta,09:30:00,16:00:00
2026-04-29T03:08:52.429168+00:00,AAPL,2021-01-26,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-26/part.parquet,689826,,utp_cta,09:30:00,16:00:00
2026-04-29T03:09:02.108687+00:00,AAPL,2021-01-27,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-27/part.parquet,965895,,utp_cta,09:30:00,16:00:00
2026-04-29T03:09:11.912388+00:00,AAPL,2021-01-28,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-28/part.parquet,1134188,,utp_cta,09:30:00,16:00:00
2026-04-29T03:09:24.894526+00:00,AAPL,2021-01-29,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-29/part.parquet,1631017,,utp_cta,09:30:00,16:00:00
2026-04-29T03:09:32.255132+00:00,AAPL,2021-02-01,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-02-01/part.parquet,871241,,utp_cta,09:30:00,16:00:00
2026-04-29T03:09:38.143542+00:00,AAPL,2021-02-02,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-02-02/part.parquet,652044,,utp_cta,09:30:00,16:00:00
2026-04-29T03:09:43.774907+00:00,AAPL,2021-02-03,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-02-03/part.parquet,633660,,utp_cta,09:30:00,16:00:00
2026-04-29T03:09:49.048646+00:00,AAPL,2021-02-04,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-02-04/part.parquet,616717,,utp_cta,09:30:00,16:00:00
2026-04-29T03:09:54.980489+00:00,AAPL,2021-02-05,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-02-05/part.parquet,583089,,utp_cta,09:30:00,16:00:00
2026-04-29T03:10:00.399756+00:00,AAPL,2021-02-08,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-02-08/part.parquet,576076,,utp_cta,09:30:00,16:00:00
2026-04-29T03:10:05.222185+00:00,AAPL,2021-02-09,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-02-09/part.parquet,510469,,utp_cta,09:30:00,16:00:00
2026-04-29T03:10:10.407007+00:00,AAPL,2021-02-10,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-02-10/part.parquet,578430,,utp_cta,09:30:00,16:00:00
2026-04-29T03:10:15.505664+00:00,AAPL,2021-02-11,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-02-11/part.parquet,527198,,utp_cta,09:30:00,16:00:00
2026-04-29T03:10:21.248113+00:00,AAPL,2021-02-12,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-02-12/part.parquet,460508,,utp_cta,09:30:00,16:00:00
2026-04-29T03:10:21.814975+00:00,AAPL,2021-02-15,skipped,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-02-15/part.parquet,0,no_data,utp_cta,09:30:00,16:00:00
