variant,fold_id,test_start,test_end,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,trend_cells,mean_reversion_cells,flat_cells
strict_inverse_trend_only,1,2022-03-07,2022-06-01,-0.0012817911981940489,-2.0919377638211457e-05,0.00046602088726178584,-0.712596439247522,-0.0040078218146171185,0.11475409836065574,0.016890548062272526,0.02949852150888413,0.2459016393442623,1.030323431798624,0,0,716
strict_mean_reversion_only,1,2022-03-07,2022-06-01,-9.40565789326886e-05,-1.5348865400986628e-06,0.00012011803529833479,-0.2028468780253715,-0.0005974459506196128,0.09836065573770492,0.0030117030118013578,0.017850564507346848,0.19672131147540983,0.18371388371988281,0,12,720
strict_mr_plus_strict_inverse_trend,1,2022-03-07,2022-06-01,-0.0013747618176233045,-2.2441641816693356e-05,0.00047431742447433446,-0.7510793430128925,-0.0040150429330135795,0.19672131147540983,0.019877006350840352,0.04331356701538146,0.39344262295081966,1.2124973874012615,0,12,704
high_confidence_hybrid,1,2022-03-07,2022-06-01,0.00039237704489858416,6.575496779319976e-06,0.0005417729887022406,0.19266884382471472,-0.003593269848938485,0.3114754098360656,0.031127192264912843,0.07092110521891551,0.6229508196721312,1.8987587281596834,34,12,686
baseline_hybrid,2,2022-06-02,2022-08-29,-0.0010491056262086351,-1.6448027193822432e-05,0.001242834638660939,-0.21008775339268848,-0.007526570359436491,0.4098360655737705,0.059616732502951256,0.15552663789259258,0.9180327868852459,3.6366206826800265,13,124,595
inverse_trend_only,2,2022-06-02,2022-08-29,0.002125120418471793,3.497193324545428e-05,0.0005883682890638124,0.9435624586279038,-0.002529256726538809,0.14754098360655737,0.017150349047322006,0.023191121652410714,0.19672131147540983,1.0461712918866424,0,0,719
pure_inverse_trend_only,2,2022-06-02,2022-08-29,0.002125120418471793,3.497193324545428e-05,0.0005883682890638124,0.9435624586279038,-0.002529256726538809,0.14754098360655737,0.017150349047322006,0.023191121652410714,0.19672131147540983,1.0461712918866424,0,0,719
strict_inverse_trend_only,2,2022-06-02,2022-08-29,0.003633535535090049,5.951891471521807e-05,0.00034649288984805603,2.726848104328798,-0.0001127163940005671,0.08196721311475409,0.010963842540702968,0.010511646413005187,0.09836065573770492,0.6687943949828811,0,0,726
strict_mean_reversion_only,2,2022-06-02,2022-08-29,0.0006185859621181677,1.0171230011245515e-05,0.00026128153174054063,0.6179666421455736,-0.0010856221205651773,0.18032786885245902,0.008480019935767292,0.036053177115939646,0.36065573770491804,0.5172812160818048,0,22,710
strict_mr_plus_strict_inverse_trend,2,2022-06-02,2022-08-29,0.004254370582566613,6.969014472646357e-05,0.0004324891966568238,2.5579754574719904,-0.0010917554530598395,0.26229508196721313,0.019443862476470262,0.04656482352894484,0.4426229508196721,1.186075611064686,0,22,704
high_confidence_hybrid,2,2022-06-02,2022-08-29,-0.005314988055311054,-8.701514286932342e-05,0.0008366250374112563,-1.6510653019040593,-0.005518491367612843,0.21311475409836064,0.03280967099128553,0.08292179763438944,0.639344262295082,2.0013899304684175,11,52,669
baseline_hybrid,3,2022-08-30,2022-11-24,0.011888858147053094,0.00019477941322277068,0.0014344569539157287,2.1555385952675117,-0.006191204234320402,0.4426229508196721,0.07176896560447243,0.21188276982661758,0.9180327868852459,4.3779069018728185,49,131,552
inverse_trend_only,3,2022-08-30,2022-11-24,-0.0013659259742339058,-2.2145471499462268e-05,0.0007293469354708971,-0.4820044404465763,-0.0060225296599112355,0.22950819672131148,0.030221603808943173,0.061733519851913034,0.45901639344262296,1.8435178323455335,0,0,683
pure_inverse_trend_only,3,2022-08-30,2022-11-24,-0.0013659259742339058,-2.2145471499462268e-05,0.0007293469354708971,-0.4820044404465763,-0.0060225296599112355,0.22950819672131148,0.030221603808943173,0.061733519851913034,0.45901639344262296,1.8435178323455335,0,0,683
strict_inverse_trend_only,3,2022-08-30,2022-11-24,0.0002665508494625879,4.382058758360092e-06,0.00016223891964613563,0.42876904248552566,-0.0010223605081353115,0.08196721311475409,0.0067620236020683785,0.014919023349545214,0.14754098360655737,0.4124834397261711,0,0,721
strict_mean_reversion_only,3,2022-08-30,2022-11-24,0.00730642589865127,0.00011948942109503946,0.000534312757423934,3.5500476617261674,-0.0015372040856447278,0.3114754098360656,0.02192998136533048,0.061774135710463966,0.5737704918032787,1.3377288632851592,0,37,695
strict_mr_plus_strict_inverse_trend,3,2022-08-30,2022-11-24,0.007575130521046747,0.00012387352280058091,0.0005550477833276814,3.5428142787015586,-0.0015641823211585137,0.3770491803278688,0.028687919073036115,0.07669315906000919,0.7049180327868853,1.749963063455203,0,37,684
high_confidence_hybrid,3,2022-08-30,2022-11-24,0.006770852906084146,0.00011084350859875462,0.0006597626121258193,2.6669988824000925,-0.0032324707925313056,0.4262295081967213,0.0439109397514489,0.10729223897759332,0.819672131147541,2.678567324838383,17,55,660
baseline_hybrid,4,2022-11-25,2023-02-21,-0.00715152928889784,-0.00012132045207280551,0.0008068237028740308,-2.3870177139356237,-0.010789760562553874,0.3728813559322034,0.040294360923961325,0.14752660218802396,0.847457627118644,2.3773672945137183,22,83,603
inverse_trend_only,4,2022-11-25,2023-02-21,0.0021354493435312705,3.6267937390732734e-05,0.00047686909680532525,1.2073243186942628,-0.002082704356407561,0.2542372881355932,0.016407465570060422,0.03565816382436294,0.3389830508474576,0.9680404686335649,0,0,686
pure_inverse_trend_only,4,2022-11-25,2023-02-21,0.0021354493435312705,3.6267937390732734e-05,0.00047686909680532525,1.2073243186942628,-0.002082704356407561,0.2542372881355932,0.016407465570060422,0.03565816382436294,0.3389830508474576,0.9680404686335649,0,0,686
strict_inverse_trend_only,4,2022-11-25,2023-02-21,-0.0008398346379278054,-1.4209288213817938e-05,0.0002513546057447982,-0.8973993408938709,-0.002082704356407339,0.05084745762711865,0.006902128978566801,0.008616908751964728,0.0847457627118644,0.40722560973544125,0,0,703
strict_mean_reversion_only,4,2022-11-25,2023-02-21,-0.0018937962013806375,-3.198264307658261e-05,0.0005438453671515986,-0.9335534506181615,-0.0059561982328218965,0.2033898305084746,0.015378187585558058,0.03558982965891896,0.3559322033898305,0.9073130675479254,0,29,679
strict_mr_plus_strict_inverse_trend,4,2022-11-25,2023-02-21,-0.002732040363661481,-4.619193129040055e-05,0.0005983496881461844,-1.2254943742093973,-0.0059561982328218965,0.2542372881355932,0.02228031656412486,0.04420673841088369,0.4406779661016949,1.3145386772833667,0,29,674
high_confidence_hybrid,4,2022-11-25,2023-02-21,0.0006837790953422296,1.183414177065452e-05,0.0007110585351910937,0.2641993131827238,-0.0065460170682954955,0.3559322033898305,0.025825041546151072,0.07009948868125696,0.6949152542372882,1.5236774512229132,7,45,656
baseline_hybrid,5,2023-02-22,2023-05-19,-0.004939403393863562,-7.883727210868166e-05,0.0014432225282117414,-0.8671586479491187,-0.011316958061704296,0.4838709677419355,0.04975757363972288,0.22814506329863268,0.9516129032258065,3.0849695656628184,16,183,545
inverse_trend_only,5,2023-02-22,2023-05-19,-0.0005462047804289938,-8.760811624687699e-06,0.0003229553245559275,-0.4306278995191497,-0.0029613443942296813,0.12903225806451613,0.016834585164365957,0.025200632807215125,0.25806451612903225,1.0437442801906893,0,0,728
pure_inverse_trend_only,5,2023-02-22,2023-05-19,-0.0005462047804289938,-8.760811624687699e-06,0.0003229553245559275,-0.4306278995191497,-0.0029613443942296813,0.12903225806451613,0.016834585164365957,0.025200632807215125,0.25806451612903225,1.0437442801906893,0,0,728
strict_inverse_trend_only,5,2023-02-22,2023-05-19,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,744
strict_mean_reversion_only,5,2023-02-22,2023-05-19,0.002277833539804819,3.67952377257417e-05,0.00044430670607924206,1.3146465779850531,-0.0031466361226983874,0.2903225806451613,0.01896890850350533,0.051719574059590614,0.4838709677419355,1.1760723272173306,0,40,704
strict_mr_plus_strict_inverse_trend,5,2023-02-22,2023-05-19,0.002277833539804819,3.67952377257417e-05,0.00044430670607924206,1.3146465779850531,-0.0031466361226983874,0.2903225806451613,0.01896890850350533,0.051719574059590614,0.4838709677419355,1.1760723272173306,0,40,704
high_confidence_hybrid,5,2023-02-22,2023-05-19,0.004412059742492591,7.122890950037949e-05,0.0006698781575493459,1.6879545502940017,-0.004068064976586072,0.43548387096774194,0.03717198188583506,0.1274540408445711,0.8064516129032258,2.3046628769217734,6,86,652
baseline_hybrid,6,2023-05-22,2023-08-16,0.0038376890113571704,6.526393342596601e-05,0.001701368156070071,0.6089409989634375,-0.0065251216629732545,0.48333333333333334,0.07296462054290237,0.17931805293961522,0.8833333333333333,4.377877232574142,27,100,593
inverse_trend_only,6,2023-05-22,2023-08-16,0.00026176441986192067,4.436436699113862e-06,0.0003886858384677793,0.18119067459837873,-0.002412949482150095,0.15,0.031024293297055743,0.04724160135381513,0.36666666666666664,1.8614575978233445,0,0,693
pure_inverse_trend_only,6,2023-05-22,2023-08-16,0.00026176441986192067,4.436436699113862e-06,0.0003886858384677793,0.18119067459837873,-0.002412949482150095,0.15,0.031024293297055743,0.04724160135381513,0.36666666666666664,1.8614575978233445,0,0,693
strict_inverse_trend_only,6,2023-05-22,2023-08-16,3.71445854965291e-05,6.199842919775595e-07,4.323969387627766e-05,0.22761367247870387,-0.00023726003938939755,0.016666666666666666,0.004007078023553334,0.003993630502962739,0.03333333333333333,0.2404246814132,0,0,718
strict_mean_reversion_only,6,2023-05-22,2023-08-16,0.004531251563196781,7.554997749423266e-05,0.0006330851246295254,1.8944035570878823,-0.003157865516453806,0.18333333333333332,0.017076666573436466,0.05544844179835573,0.3,1.0245999944061879,0,28,692
strict_mr_plus_strict_inverse_trend,6,2023-05-22,2023-08-16,0.004568221500807379,7.616996178621023e-05,0.0006435452220651526,1.8789055004983273,-0.003157865516453806,0.18333333333333332,0.0210837445969898,0.05944207230131846,0.3,1.265024675819388,0,28,690
high_confidence_hybrid,6,2023-05-22,2023-08-16,0.00028077404295401287,5.026456087608442e-06,0.0008412284319475067,0.09485237739535995,-0.005058757608183084,0.25,0.03274960476764822,0.08187773317012208,0.48333333333333334,1.9649762860588929,14,36,670
baseline_hybrid,7,2023-08-17,2023-11-13,0.0020155832603625523,3.270107202165409e-05,0.0006745954006558599,0.7695181801452505,-0.0029659898300143928,0.43548387096774194,0.049167877612199186,0.09810083000376119,0.8064516129032258,3.0484084119563497,20,40,684
inverse_trend_only,7,2023-08-17,2023-11-13,-0.002612108913180533,-4.2104210794877344e-05,0.0004053182514941183,-1.6490341182699466,-0.0042707939182597965,0.0967741935483871,0.020849073190206267,0.03339681315681014,0.3064516129032258,1.2926425377927886,0,0,724
pure_inverse_trend_only,7,2023-08-17,2023-11-13,-0.002612108913180533,-4.2104210794877344e-05,0.0004053182514941183,-1.6490341182699466,-0.0042707939182597965,0.0967741935483871,0.020849073190206267,0.03339681315681014,0.3064516129032258,1.2926425377927886,0,0,724
strict_inverse_trend_only,7,2023-08-17,2023-11-13,0.0010169125012358116,1.641659454264105e-05,0.00021622942026084473,1.2052261847258032,-0.0005863388317264295,0.016129032258064516,0.003076321276883209,0.0029818668658861116,0.03225806451612903,0.19073191916675897,0,0,742
strict_mean_reversion_only,7,2023-08-17,2023-11-13,0.0033857831877444067,5.457608782163806e-05,0.00034189314656928396,2.534033057213339,-0.000629354435448648,0.06451612903225806,0.009275575318943617,0.013166686176229448,0.0967741935483871,0.5750856697745043,0,6,738
strict_mr_plus_strict_inverse_trend,7,2023-08-17,2023-11-13,0.004406138734230458,7.099268236427911e-05,0.0004022745372524018,2.8015044211972984,-0.000629354435448648,0.08064516129032258,0.012351896595826826,0.01614855304211556,0.12903225806451613,0.7658175889412633,0,6,736
high_confidence_hybrid,7,2023-08-17,2023-11-13,0.0029126894086535238,4.702363596551961e-05,0.00047716470069340914,1.5644013020158767,-0.002011926785954077,0.14516129032258066,0.02111485315812593,0.032829401456728906,0.27419354838709675,1.3091208958038076,10,8,726
baseline_hybrid,8,2023-11-14,2024-02-08,-0.0017924459814205873,-2.9458259605334905e-05,0.0013898895049137034,-0.3364550722785768,-0.010883790112216962,0.4576271186440678,0.0729580161404684,0.23630315974840993,0.9491525423728814,4.304522952287636,47,113,548
inverse_trend_only,8,2023-11-14,2024-02-08,-0.009694736797957626,-0.00016463162581705507,0.000980692777662125,-2.6648978136855552,-0.011122192260091257,0.3220338983050847,0.03251331726036891,0.06151384551012334,0.6271186440677966,1.9182857183617656,0,0,661
pure_inverse_trend_only,8,2023-11-14,2024-02-08,-0.009694736797957626,-0.00016463162581705507,0.000980692777662125,-2.6648978136855552,-0.011122192260091257,0.3220338983050847,0.03251331726036891,0.06151384551012334,0.6271186440677966,1.9182857183617656,0,0,661
strict_inverse_trend_only,8,2023-11-14,2024-02-08,-0.0054758985139014005,-9.28229692378245e-05,0.0006969458336724483,-2.114251759828757,-0.0058185480298939,0.0847457627118644,0.007012763309100241,0.013721971141140224,0.15254237288135594,0.4137530352369142,0,0,698
strict_mean_reversion_only,8,2023-11-14,2024-02-08,0.0008870634236111119,1.5179847976000115e-05,0.0005551150353929508,0.4340949186054795,-0.0031421528814253863,0.22033898305084745,0.022881637317334245,0.06120279573991143,0.423728813559322,1.3500166017227204,0,27,681
strict_mr_plus_strict_inverse_trend,8,2023-11-14,2024-02-08,-0.004563812046571525,-7.713415702211694e-05,0.000892866221281492,-1.3713888522485973,-0.008912668172679994,0.2711864406779661,0.0288764721470196,0.07492476688105164,0.559322033898305,1.7037118566741565,0,27,671
high_confidence_hybrid,8,2023-11-14,2024-02-08,0.004513381212735368,7.674074655814121e-05,0.0009164312018413133,1.3293104626533758,-0.004772248741254925,0.3050847457627119,0.037738284941503435,0.08131866574544994,0.6101694915254238,2.2265588115487027,15,28,665
baseline_hybrid,9,2024-02-09,2024-05-07,-0.015026151713167013,-0.000247064810905951,0.0014978449225759515,-2.6184501647133605,-0.015987990322176238,0.4098360655737705,0.04226860811942161,0.1639933237177209,0.9672131147540983,2.5783850952847183,4,146,582
inverse_trend_only,9,2024-02-09,2024-05-07,0.0006147693783677965,1.0076934070106186e-05,6.039407086640203e-05,2.6487098297915956,-6.141495511047257e-05,0.04918032786885246,0.004088639422949284,0.008076355026828486,0.06557377049180328,0.2494070047999063,0,0,728
pure_inverse_trend_only,9,2024-02-09,2024-05-07,0.0006147693783677965,1.0076934070106186e-05,6.039407086640203e-05,2.6487098297915956,-6.141495511047257e-05,0.04918032786885246,0.004088639422949284,0.008076355026828486,0.06557377049180328,0.2494070047999063,0,0,728
strict_inverse_trend_only,9,2024-02-09,2024-05-07,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,732
strict_mean_reversion_only,9,2024-02-09,2024-05-07,0.00040128033912423255,6.6064894530317594e-06,0.0002446094371722714,0.42874375577545165,-0.001876810442074106,0.09836065573770492,0.00929520885583995,0.023254056177717718,0.19672131147540983,0.567007740206237,0,15,717
strict_mr_plus_strict_inverse_trend,9,2024-02-09,2024-05-07,0.00040128033912423255,6.6064894530317594e-06,0.0002446094371722714,0.42874375577545165,-0.001876810442074106,0.09836065573770492,0.00929520885583995,0.023254056177717718,0.19672131147540983,0.567007740206237,0,15,717
high_confidence_hybrid,9,2024-02-09,2024-05-07,-0.004090391497147183,-6.701794784209745e-05,0.0005928318116213638,-1.7945679016429275,-0.006927006743572495,0.18032786885245902,0.02361711332902343,0.06007007308426345,0.4262295081967213,1.4406439130704292,0,35,697
baseline_hybrid,10,2024-05-08,2024-08-02,0.0006510915680586482,1.1684812149504374e-05,0.0013043966739343094,0.1422041669464648,-0.01274320018428965,0.45,0.05190286692340802,0.13092860131792425,0.8,3.114172015404481,21,84,615
inverse_trend_only,10,2024-05-08,2024-08-02,0.005780140059319372,9.636116508720214e-05,0.0007794557467879998,1.9625053500402385,-0.0032760849892531363,0.13333333333333333,0.024928406645439428,0.027541370903809547,0.25,1.4957043987263656,0,0,699
pure_inverse_trend_only,10,2024-05-08,2024-08-02,0.005780140059319372,9.636116508720214e-05,0.0007794557467879998,1.9625053500402385,-0.0032760849892531363,0.13333333333333333,0.024928406645439428,0.027541370903809547,0.25,1.4957043987263656,0,0,699
